
=== arm=finetune N_buf=4 seed=1 device=cpu tiny=False n_train=6 gate=E supervised=False cross_ip=True T1=knee/gaussian/4x T2=ct/Tomography/20 ===
Power iteration converged at iteration 9, value=1236.31
/home/ubuntu/.local/lib/python3.12/site-packages/deepinv/transform/rotate.py:47: UserWarning: The default interpolation mode will be changed to bilinear interpolation in the near future. Please specify the interpolation mode explicitly if you plan to keep using nearest interpolation.
  warn(
The model has 187019 trainable parameters
Train epoch 0: MCLoss=0.037, EILoss=0.175, TotalLoss=0.212
Train epoch 1: MCLoss=0.021, EILoss=0.007, TotalLoss=0.028
Train epoch 2: MCLoss=0.021, EILoss=0.005, TotalLoss=0.026
Train epoch 3: MCLoss=0.01, EILoss=0.003, TotalLoss=0.013
Train epoch 4: MCLoss=0.004, EILoss=0.003, TotalLoss=0.006
Train epoch 5: MCLoss=0.002, EILoss=0.003, TotalLoss=0.005
Train epoch 6: MCLoss=0.001, EILoss=0.002, TotalLoss=0.003
Train epoch 7: MCLoss=0.001, EILoss=0.001, TotalLoss=0.002
Train epoch 8: MCLoss=0.0, EILoss=0.001, TotalLoss=0.002
Train epoch 9: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 10: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 11: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 12: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 13: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 14: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 15: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 16: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 17: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 18: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 19: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 20: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 21: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 22: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
Train epoch 23: MCLoss=0.0, EILoss=0.001, TotalLoss=0.001
