arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,1,1,20.519540786743164,25.525888442993164,23.022714614868164,4.576142311096191
ER+MC,1,1,21.494176864624023,24.960529327392578,23.2273530960083,3.601506233215332
ER+EI,1,1,24.382307052612305,22.54515552520752,23.463731288909912,0.7133760452270508
Fine-tune,2,1,20.519540786743164,25.525888442993164,23.022714614868164,4.576142311096191
ER+MC,2,1,24.402541160583496,23.70792865753174,24.055234909057617,0.6931419372558594
ER+EI,2,1,25.119765281677246,24.814766883850098,24.967266082763672,-0.024082183837890625
Fine-tune,4,1,20.519540786743164,25.525888442993164,23.022714614868164,4.576142311096191
ER+MC,4,1,25.12693500518799,25.26640033721924,25.196667671203613,-0.03125190734863281
ER+EI,4,1,24.988154411315918,25.73110580444336,25.35963010787964,0.1075286865234375
Fine-tune,8,1,20.519540786743164,25.525888442993164,23.022714614868164,4.576142311096191
ER+MC,8,1,25.138277053833008,25.740458488464355,25.43936777114868,-0.042593955993652344
ER+EI,8,1,25.12766456604004,24.71809482574463,24.922879695892334,-0.031981468200683594
Fine-tune,1,2,19.593039512634277,27.160151481628418,23.376595497131348,5.441677093505859
ER+MC,1,2,25.266374588012695,24.566832542419434,24.916603565216064,-0.2316579818725586
ER+EI,1,2,25.259252548217773,24.852030754089355,25.055641651153564,-0.22453594207763672
Fine-tune,2,2,19.593039512634277,27.160151481628418,23.376595497131348,5.441677093505859
ER+MC,2,2,25.427486419677734,25.012706756591797,25.220096588134766,-0.39276981353759766
ER+EI,2,2,25.327275276184082,25.093693733215332,25.210484504699707,-0.2925586700439453
Fine-tune,4,2,19.593039512634277,27.160151481628418,23.376595497131348,5.441677093505859
ER+MC,4,2,25.48310089111328,25.166074752807617,25.32458782196045,-0.44838428497314453
ER+EI,4,2,25.2168025970459,24.2804536819458,24.74862813949585,-0.18208599090576172
Fine-tune,8,2,19.593039512634277,27.160151481628418,23.376595497131348,5.441677093505859
ER+MC,8,2,25.572322845458984,25.214767456054688,25.393545150756836,-0.5376062393188477
ER+EI,8,2,25.35895538330078,24.731630325317383,25.045292854309082,-0.32423877716064453
